Index,Frequency,Magnitude,Phase,Real,Imaginary
4785,28037.1,0.0633207,-3.0416,-0.0630044,-0.00632083
4786,28043,0.0586339,-2.95542,-0.0576206,-0.0108532
4787,28048.8,0.0678926,-3.02847,-0.0674587,-0.00766385
4788,28054.7,0.0606269,-3.02729,-0.0602313,-0.00691476
4789,28060.5,0.0654553,-2.99456,-0.064749,-0.00958927
4790,28066.4,0.0658291,-2.9496,-0.0646196,-0.0125612
4791,28072.3,0.0610861,-3.03406,-0.0607333,-0.0065559
4792,28078.1,0.063983,-2.96405,-0.0629772,-0.0113004
4793,28084,0.0648333,-2.96748,-0.063853,-0.0112312
4794,28089.8,0.0621961,-3.0347,-0.0618411,-0.00663551
4795,28095.7,0.0628879,-2.94685,-0.0616992,-0.0121698
4796,28101.6,0.0661818,-2.97324,-0.0652461,-0.0110893
4797,28107.4,0.0610665,-2.99961,-0.060452,-0.00864112
4798,28113.3,0.060566,-2.95526,-0.0595176,-0.0112205
4799,28119.1,0.0669695,-2.98965,-0.0661979,-0.0101364
4800,28125,0.0605519,-2.99169,-0.0598728,-0.00904292
4801,28130.9,0.0603862,-2.95042,-0.059286,-0.0114742
4802,28136.7,0.0651089,-2.99921,-0.06445,-0.00923935
4803,28142.6,0.0617952,-3.02592,-0.0613822,-0.00713201
4804,28148.4,0.0599874,-2.92123,-0.0585369,-0.013112
4805,28154.3,0.0667257,-3.03779,-0.0663666,-0.0069138
4806,28160.2,0.0589418,-2.98655,-0.0582348,-0.00910205
4807,28166,0.0626321,-2.99621,-0.0619714,-0.00907378
4808,28171.9,0.0682234,-3.01933,-0.0677141,-0.00832041
4809,28177.7,0.0611586,-2.94398,-0.0599683,-0.0120072
4810,28183.6,0.0610922,-2.9604,-0.0600921,-0.0110089
4811,28189.5,0.0649092,-3.00879,-0.0643377,-0.00859451
4812,28195.3,0.0595734,-3.00593,-0.0590261,-0.00805704
4813,28201.2,0.0640355,-2.97768,-0.0631772,-0.0104492
4814,28207,0.0648837,-3.00459,-0.0642757,-0.00886157
4815,28212.9,0.0607226,-2.99627,-0.0600825,-0.00879332
4816,28218.8,0.0642663,-2.98303,-0.0634601,-0.0101478
4817,28224.6,0.0646004,-2.9917,-0.063876,-0.00964678
4818,28230.5,0.0630158,-2.99886,-0.0623749,-0.00896412
4819,28236.3,0.0617452,-2.95454,-0.0606682,-0.0114825
4820,28242.2,0.0662768,-2.99146,-0.0655312,-0.00991318
4821,28248,0.0599225,-3.02493,-0.0595151,-0.00697493
4822,28253.9,0.0653206,-2.95359,-0.0641696,-0.0122081
4823,28259.8,0.0655963,-2.99857,-0.0649265,-0.00935004
4824,28265.6,0.0621108,-2.98957,-0.0613944,-0.00940596
4825,28271.5,0.063244,-2.93027,-0.0618371,-0.0132655
4826,28277.3,0.0648728,-3.00587,-0.0642763,-0.00877742
4827,28283.2,0.0612951,-3.00787,-0.0607479,-0.00817215
4828,28289.1,0.0651521,-2.95125,-0.0639754,-0.0123268
4829,28294.9,0.0666033,-2.97239,-0.0656521,-0.0112159
4830,28300.8,0.0600564,-2.97897,-0.059264,-0.00972372
4831,28306.6,0.063311,-2.93247,-0.0619316,-0.0131436
4832,28312.5,0.0653017,-3.01481,-0.0647776,-0.00825684
4833,28318.4,0.0607111,-2.97619,-0.0598826,-0.00999576
4834,28324.2,0.0644095,-2.95411,-0.0632808,-0.012005
4835,28330.1,0.0661133,-2.99837,-0.0654364,-0.00943641
4836,28335.9,0.0603325,-2.96855,-0.0594315,-0.0103879
4837,28341.8,0.0657841,-2.93928,-0.0644424,-0.0132183
4838,28347.7,0.0635398,-2.98627,-0.0627749,-0.00982945
4839,28353.5,0.0602928,-2.99759,-0.0596688,-0.00865211
4840,28359.4,0.0673004,-2.93548,-0.065876,-0.0137733
4841,28365.2,0.0629622,-2.97897,-0.0621314,-0.0101942
4842,28371.1,0.0604471,-2.98957,-0.05975,-0.00915409
4843,28377,0.0668388,-2.94016,-0.0654874,-0.0133726
4844,28382.8,0.0632579,-2.97468,-0.0623788,-0.0105095
4845,28388.7,0.0599777,-2.96916,-0.0590882,-0.0102911
4846,28394.5,0.0644145,-2.977,-0.0635439,-0.0105546
4847,28400.4,0.0663542,-2.98592,-0.0655518,-0.0102878
4848,28406.2,0.0604534,-2.96537,-0.0595171,-0.0105983
4849,28412.1,0.0646669,-2.94226,-0.0633864,-0.0128053
4850,28418,0.0650617,-3.02009,-0.064582,-0.00788559
4851,28423.8,0.0625199,-2.96703,-0.0615698,-0.0108581
4852,28429.7,0.066544,-2.92837,-0.065037,-0.0140816
4853,28435.5,0.064529,-2.99138,-0.0638023,-0.00965661
4854,28441.4,0.0621325,-2.96626,-0.0611798,-0.0108383
4855,28447.3,0.0680521,-2.90885,-0.0662172,-0.0156962
4856,28453.1,0.0629543,-2.96499,-0.0619752,-0.0110599
4857,28459,0.060662,-2.93856,-0.0594161,-0.0122317
4858,28464.8,0.0648894,-2.93515,-0.0635116,-0.0133007
4859,28470.7,0.0640387,-2.9981,-0.0633805,-0.00915781
4860,28476.6,0.0614631,-2.9307,-0.0601013,-0.0128664
4861,28482.4,0.0652996,-2.94265,-0.0640116,-0.0129053
4862,28488.3,0.0640051,-2.9831,-0.0632029,-0.0101018
4863,28494.1,0.0619533,-2.93759,-0.0606686,-0.0125512
4864,28500,0.065434,-2.91513,-0.0637633,-0.0146917
4865,28505.9,0.0625758,-2.9851,-0.0618111,-0.00975282
4866,28511.7,0.0611897,-2.92199,-0.0597201,-0.0133298
4867,28517.6,0.0631761,-2.95025,-0.0620231,-0.0120149
4868,28523.4,0.0641592,-3.01001,-0.0636046,-0.00841767
4869,28529.3,0.0620533,-2.93375,-0.0607178,-0.0128046
4870,28535.2,0.0653068,-2.9357,-0.0639274,-0.0133513
4871,28541,0.0639371,-3.01263,-0.0634062,-0.00822239
4872,28546.9,0.062773,-2.88391,-0.0607004,-0.0159972
4873,28552.7,0.0643339,-2.95508,-0.0632181,-0.01193
4874,28558.6,0.0611648,-2.97671,-0.0603352,-0.0100396
4875,28564.5,0.0621025,-2.96604,-0.061148,-0.0108465
4876,28570.3,0.0668616,-2.96878,-0.0658657,-0.0114969
4877,28576.2,0.0645542,-2.95929,-0.0634844,-0.0117036
4878,28582,0.0619263,-2.92922,-0.060535,-0.013053
4879,28587.9,0.0666847,-2.9413,-0.0653515,-0.0132674
4880,28593.8,0.0621673,-2.96832,-0.0612364,-0.0107178
4881,28599.6,0.0650141,-2.93704,-0.0636587,-0.0132063
4882,28605.5,0.0644302,-2.88425,-0.0623084,-0.0163984
4883,28611.3,0.0618904,-2.98464,-0.0611296,-0.00967396
4884,28617.2,0.0602688,-2.91716,-0.0587573,-0.0134129
4885,28623,0.065824,-2.97576,-0.064921,-0.0108657
4886,28628.9,0.0634691,-2.98285,-0.062671,-0.0100333
4887,28634.8,0.0635304,-2.91079,-0.0618457,-0.0145334
4888,28640.6,0.0655842,-2.93211,-0.0641505,-0.0136386
4889,28646.5,0.0618896,-2.9689,-0.060969,-0.0106347
4890,28652.3,0.0610655,-2.91393,-0.0594898,-0.0137825
4891,28658.2,0.0657281,-2.97244,-0.0647901,-0.0110649
4892,28664.1,0.0622362,-2.99794,-0.0615952,-0.00890964
4893,28669.9,0.0648929,-2.93177,-0.0634696,-0.0135166
4894,28675.8,0.0678593,-2.93757,-0.0664519,-0.0137488
4895,28681.6,0.0625588,-2.95801,-0.0615075,-0.0114202
